Query,T1,T2,T3,T40,Tot Score,T1 Score,T2 Score,T3 Score,T40 Score
1,10,3,16,26,154,46,104,4,0
2,39,21,25,15,24,7,13,4,83
3,4,38,8,26,252,160,0,92,0
4,3,8,1,26,269,164,61,44,0
5,6,7,23,26,246,176,69,1,0
6,11,5,7,16,277,37,166,74,0
7,9,11,40,22,163,122,34,7,0
8,3,19,1,26,277,126,0,151,0
9,7,11,6,37,242,133,22,87,0
10,1,3,16,26,227,72,18,137,0
11,9,7,6,37,260,48,79,133,0
12,2,14,9,32,188,20,131,37,0
13,14,11,9,26,141,119,0,22,0
14,9,39,13,26,135,38,15,82,0
15,7,11,6,32,170,36,7,127,0
16,10,1,3,26,136,103,18,15,0
17,28,33,25,12,1,0,1,0,0
18,35,17,23,15,225,39,134,52,0
19,38,24,36,26,170,36,107,27,1
20,23,40,17,26,163,86,60,17,1
21,34,39,29,15,64,2,37,25,0
22,34,36,19,15,74,8,50,16,0
23,40,28,20,12,64,13,5,46,0
24,36,19,32,15,166,15,122,29,0
25,28,17,40,15,120,104,7,9,3
26,6,40,33,1,45,0,10,35,0
27,38,30,3,26,26,0,15,11,0
28,33,25,17,13,199,62,133,4,0
29,30,38,34,15,191,175,9,7,0
30,29,34,37,15,177,171,5,1,0
31,27,32,5,26,243,86,157,0,2
32,24,33,34,15,52,36,16,0,0
33,28,17,34,15,98,69,20,9,0
34,22,24,33,15,121,107,1,13,0
35,28,18,23,13,128,2,110,16,0
36,24,38,19,15,100,9,61,30,0
37,24,36,32,15,190,45,143,2,0
38,19,36,24,26,185,59,99,27,2
39,34,22,2,26,70,10,57,3,0
40,23,28,25,16,30,12,13,5,3
